target,text,stance,cut,length
深圳禁摩限电,挺好的。 支持！谁都不愿意看到拉客电动车横冲直撞。但是请务必做到区别对待，快递是民生。 ,0,挺 支持 愿意 看到 拉客 电动车 横冲直撞 请 务必 做到 区别对待 快递 民生 ,42
俄罗斯在叙利亚的反恐行动,美国国务卿克里表示，恐怖组织“伊斯兰国”最近三周来在叙利亚境内失去3000平方公里土地，600多名武装分子被击毙。,0,美国 国务卿 克里 表示 恐怖组织 伊斯兰 国 最近 三周 叙利亚 境内 失去 平方公里 土地 多名 武装 分子 击毙 ,60
春节放鞭炮,#春节回家九件事#春节是中华民族最重要的传统节日，也是亲人团聚的日子，离家在外的孩子在过春节时都要回家欢聚，在以往我们过春节时总是要放鞭炮、逛庙会、走亲戚，但随着社会整体文明程度的提高，春节也在... |我眼中的春...,0,春节 回家 九件 事 春节 中华民族 重要 传统节日 亲人 团聚 日子 离家 在外 孩子 春节 时 回家 欢聚 以往 春节 时 总是 放鞭炮 逛庙会 走亲戚 社会 整体 文明 程度 提高 春节 眼中 春 ,102
IphoneSE,虽然大家都在吐槽iPhone SE，但是我觉得它挺适合我的，因为我讨厌大屏手机，iPhone SE那样刚刚好，我是iPhone 5的忠实拥护者，不过5已经停产了，也没有指纹识别，如果换手机，我会考虑iPhone SE的，毕竟价格也合适。,0,吐 槽 iPhoneSE 觉得 挺 适合 讨厌 大屏 手机 iPhoneSE 刚刚 iPhone 忠实 拥护者 已经 停产 没有 指纹识别 换 手机 我会 考虑 iPhoneSE 毕竟 价格 合适 ,99
春节放鞭炮,#少放鞭炮让环卫工回家#赞成。尽量约束少放鞭炮；该放的地方应该注意安全，毕竟是我们中华民族世代留下的传统，比如过春节、过正月十五等重要传统节日该放，但应当少放，減少一点空气污染！,0,少 放鞭炮 环卫工 回家 赞成 尽量 约束 少 放鞭炮 该放 地方 应该 注意安全 毕竟 中华民族 世代 留下 传统 春节 正月十五 重要 传统节日 该放 应当 少放 減少 一点 空气污染 ,95
开放二胎,全面开放二胎政策总让人觉得“得不偿失”。优秀的因为这个政策被挤压了发展空间于是愤而起义坚决不生不养，或者少生精养。而繁殖癌们有没有这个政策都能生一堆，猪仔似得养着。然而仔细想想，兴许国家压根不在乎，本来想要的就只是未来的廉价劳动力而已！(⊙o⊙)细思恐极！我还是吃个橙子压压惊吧！,1,全面 开放 二胎 政策 总让 觉得 得不偿失 优秀 政策 挤压 发展 空间 愤而 起义 坚决 不生 不养 少生 精养 繁殖 癌们 有没有 政策 能生 一堆 猪仔 似得养 仔细 想想 兴许 国家 压根 不在乎 本来 想要 未来 廉价 劳动力 o 细思 恐极 吃个 橙子 压 压惊 ,139
俄罗斯在叙利亚的反恐行动,同学们，听好了，请问第三次世界大战的导火索是什么？答：（土耳其击落俄战机）。记住咯！期末考试要考的,2,同学 听 请问 第三次 世界大战 导火索 答 土耳其 击落 俄 战机 记住 咯 期末考试 要考 ,48
开放二胎,不等到歌会结束啦~俺去补作业了，还是感谢奇然让我一本满足呐！最后的最后的最后，祝二胎茁壮成长！(ฅ>ω<*ฅ)嘿嘿嘿~等俺高考毕业了~把大胎二胎一起补上！奇然晚安~@奇然liya 会看到吗，会看到吗~,2,歌会 结束 补 作业 感谢 奇然 一本 满足 呐 最后 最后 最后 祝 二胎 茁壮成长 嘿嘿嘿 高考 毕业 大胎 二胎 一起 补上 奇然 晚安 奇然 liya 会 看到 会 看到 ,90
俄罗斯在叙利亚的反恐行动,这次击落后，俄罗斯不拿出有效反制措施，只怕今后的路会越来越难走，但中国跟俄罗斯的关系应该会更加紧密，依现在的政治局势看一个过于衰弱的俄罗斯对中国的弊大于利，中国最好能扶着点老毛子...当然，前提是油价低位。小编我评论的时候你为了加个[doge]表情把原博删了[挖鼻]搞得我原博评论失败...,0,击落 俄罗斯 拿出 有效 反制 措施 今后 路会 越来越 难 走 中国 俄罗斯 关系 应该 会 更加 紧密 现在 政治局势 一个 过于 衰弱 俄罗斯 中国 弊大于利 中国 最好 扶 点 老 毛子 前提 油价 低位 小编 评论 加个 doge 表情 原博 删 挖 鼻 搞 原博 评论 失败 ,144
开放二胎,国际知名咨询公司凯度发布研究称，此前，婴儿奶粉业内预估，受二胎政策推动，2015年~2018年间，每年新增婴儿100~150万，保守预计婴儿配方奶粉品将增长8%。但实际出生人数远低于此前乐观的预期，导致行业渠道成库存积压和零售商价格战。,2,国际 知名 咨询 公司 凯度 发布 研究 称 此前 婴儿 奶粉 业内 预估 受 二胎 政策 推动 年 年间 每年 新增 婴儿 万 保守 预计 婴儿 配方 奶粉 品将 增长 实际 出生人数 远 低于 此前 乐观 预期 导致 行业 渠道 成 库存 积压 零售商 价格战 ,133
深圳禁摩限电,这样的治理思路，真是让人心寒。,1,治理 思路 真是 心寒 ,12
深圳禁摩限电,【微纪录】深圳“禁摩限电” 被改变的生活：搭客仔,2,微 纪录 深圳 禁摩 限电 改变 生活 搭客 仔 ,25
IphoneSE,2012年的设计，现在来看，仍旧如此优雅。,0,年 设计 现在 来看 优雅 ,14
深圳禁摩限电,#深圳禁摩限电#质问交警，谁让你们这样做的，谁给你们的权力，在你们这样做之前，你问人民群众了吗？人民群众同意了吗？ |深圳·美丽3...,1,深圳 禁摩 限电 质问 交警 做 权力 做 之前 问 人民 群众 人民 群众 同意 深圳 美丽 ,48
俄罗斯在叙利亚的反恐行动,感觉土耳其把谁都不放在眼里,0,感觉 土耳其 放在眼里 ,12
深圳禁摩限电,#深圳禁摩限电#为何你们要对平民百姓赶尽杀绝，不留一点活路，不见你们去惩治贪官污吏，不见你们为老百姓做任何一件好事，你马勒戈壁，你们的下场会跟萨达姆，希特勒一般,1,深圳 禁摩 限电 平民百姓 赶尽杀绝 不留 一点 活路 不见 惩治 贪官污吏 不见 老百姓 做 一件 好事 马勒 戈壁 下场 会 萨达姆 希特勒 ,73
俄罗斯在叙利亚的反恐行动,恐怖分子迫切需要俄罗斯空天军加大轰炸的力度![飞机][飞机][飞机],1,恐怖分子 迫切需要 俄罗斯 空天军 加大 轰炸 力度 飞机 飞机 飞机 ,36
开放二胎,#姚晨怀二胎#哈哈哈，看到我大嘴晨怀了二胎，真心祝贺小家伙赶紧来到这个世界吧，作为姚晨的忠实粉丝，迫不及待了,0,姚晨怀 二胎 哈哈哈 看到 我大 嘴晨怀 二胎 真心 祝贺 小家伙 赶紧 来到 世界 姚晨 忠实 粉丝 迫不及待 ,57
俄罗斯在叙利亚的反恐行动,俄罗斯想占这条新闻头功。厚脸皮,1,俄罗斯 想 占 这条 新闻 头功 厚脸皮 ,21
深圳禁摩限电,没有考虑老百姓的心声，没有关注各个阶层的现状。这样的一刀切是不能解决问题的。 ,1,没有 考虑 老百姓 心声 没有 关注 阶层 现状 一刀切 不能 解决问题 ,37
春节放鞭炮,今年不发短信、不放鞭炮，环保节约型新年开始！春节快乐！😋😎😇🍭🎊🐣,1,今年 发短信 放鞭炮 环保 节约型 新年 春节快乐 ,26
深圳禁摩限电,生活在江苏好开心，我们穷，道路还算宽，有非机动车道，出行电动车没问题。#深圳禁摩限电#,1,生活 江苏 好开心 穷 道路 还算 宽 非机动车 道 出行 电动车 没 问题 深圳 禁摩 限电 ,48
深圳禁摩限电,从3月21日起，一场被媒体称为史上最严厉“禁摩限电”整治行动在深圳展开，据深圳市交警局通报，http://t.cn/Rqxy11X,2,月 日 一场 媒体 称为 史上 严厉 禁摩 限电 整治 行动 深圳 展开 深圳市 交警 局 通报 httptcnRqxyX ,62
俄罗斯在叙利亚的反恐行动,支持男神阿萨德，希望他一生平安，不要死于CIA之手。,0,支持 男神 阿萨德 希望 一生 平安 不要 死于 CIA 之手 ,32
IphoneSE,体验了会iPhone SE 大概是目前运行最快性能最强的iPhone 上手第一感觉全键盘输入稍显不适应 喜欢小屏的不容错过,0,体验 会 iPhoneSE 大概 目前 运行 最快 性能 最强 iPhone 上手 第一 感觉 全 键盘输入 稍显 适应 喜欢 小屏 容错过 ,71
深圳禁摩限电,又能怎样，揭杆而起，有多少人敢，有种都去政府大院坐着去。//@静静静静靖靖:借用一句话，今天你是沉默的羔羊，明天你就是待宰的羊//【深圳禁摩限电对准餐饮业:只可自行车送外卖】 http://t.cn/RqGPSED,1,揭杆 人敢 有种 政府 大院 坐 静静 静静 靖靖 借用 一句 话 今天 沉默 羔羊 明天 宰 羊 深圳 禁摩 限电 对准 餐饮业 自行车 送 外卖 httptcnRqGPSED ,90
深圳禁摩限电,每天新闻都在说深圳禁摩限电，我们百姓想知道，具体什么标准的电池车能够在深圳行驶，毕竟有太多我们这样的务工人员买不起小车，可以解答下吗,2,每天 新闻 说 深圳 禁摩 限电 百姓 想 知道 具体 标准 电池 车 能够 深圳 行驶 毕竟 有太多 务工人员 买不起 小车 解答 ,67
IphoneSE,iPhone SE防水性能竟然十分出色，而苹果依然没把这当成一个卖点。。,2,iPhoneSE 防水 性能 竟然 十分 出色 苹果 依然 没 当成 一个 卖点 ,41
IphoneSE,可以换的！我一直都是官网买的，重来没出过问题机！,0,换 一直 官网 买 重来 没 出过 问题 机 ,23
俄罗斯在叙利亚的反恐行动,普京花小钱办大事，刁总去趟美国花三百多亿，美国航母军舰飞机天天在中国南海寻衅滋事，你说办的那叫什么事儿？,0,普京 花 小钱 办 大事 刁总去 趟 美国 花 三百多 亿 美国 航母 军舰 飞机 天天 中国 南海 寻衅滋事 说 办 事儿 ,63
开放二胎,问题这么多，干嘛要开放二胎……话说回来，高三生物教材改了嘛？这么写不符合国策啊！,1,问题 干嘛 开放 二胎 话说回来 高三 生物 教材 改 写 符合 国策 ,36
IphoneSE,我觉得这是一款性价比比较高的手机，虽然说是用6S和5S回收再利用，，这也体现了苹果的节能环保，我个人认为适合我现在需要的小屏幕，并且配置还算可以，,0,觉得 这是 一款 性价比 比较 高 手机 说 S S 回收 利用 体现 苹果 节能 环保 个人 认为 适合 现在 需要 屏幕 配置 算 ,68
深圳禁摩限电,#深圳禁摩限电#按理说，自行车早该淘汰了呢！,1,深圳 禁摩 限电 按理说 自行车 早该 淘汰 ,23
深圳禁摩限电,绝大部分网友都没了解禁电摩出发点就开始喷…快递公司的电摩备案后是可以使用电摩送快递的！ ,0,绝大部分 网友 没 解禁 电摩 出发点 喷 快递 公司 电摩 备案 使用 电摩送 快递 ,44
俄罗斯在叙利亚的反恐行动,苦难的人民有吃的了，也有医药了[泪流满面][泪流满面],2,苦难 人民 吃 医药 泪流满面 泪流满面 ,21
深圳禁摩限电,支持禁摩这一行动，摩托车非法营运每年都能酿成几起悲剧，闯红绿灯，不礼让行人，与机动车抢道，比比皆是！交警执法需要温和一点，切勿暴力执法！ ,0,支持 禁摩 行动 摩托车 非法 营运 每年 酿成 几起 悲剧 闯 红绿灯 礼让 行人 机动车 抢 道 比比皆是 交警 执法 需要 温和 一点 切勿 暴力 执法 ,80
春节放鞭炮,#金色经典#今天是我国一个古老的节日-春节，也是全年中最重要的一个节日，在中国，春节有很多传统习俗，比如贴门神、放鞭炮、压岁钱、贴倒福、拜年、团圆饭等等。这些习俗都寓意着今年吉祥丰收、阖家幸福。在此费列罗Rocher祝愿大家春节快乐！（图片源自网络）,0,金色 经典 今天 我国 一个 古老 节日 春节 全年 中 重要 一个 节日 中国 春节 很多 传统习俗 贴 门神 放鞭炮 压岁钱 贴 倒 福 拜年 团圆饭 习俗 寓意 今年 吉祥 丰收 阖家幸福 此费 列罗 Rocher 祝愿 春节快乐 图片 源自 网络 ,128
开放二胎,《关于二胎》：现在养大一个孩子需要多少钱？具体数额可能说不准，但开销要占双职工家庭收入一半基本可以确 定。也就是说再养一个孩子基本不可能，经济负担不起。这还单是从经济负担角度算，如果再加上养育孩子的时间和精力，那就更不可能了。1到3岁最困难，上幼 儿园到小学比较困难，假如家里没有老人帮忙，双职工根本没有时间照顾孩子。国家出台“二胎”政策自有道理，但对一些人来说，养二孩那是奢望！,0,二胎 现在 养 一个 孩子 需要 钱 具体 数额 可能 说 不准 开销 占 双职工 家庭收入 一半 基本 确定 也就是说 再养 一个 孩子 基本 可能 经济负担 不起 单 是从 经济负担 角度 算 加上 养育 孩子 时间 精力 更 可能 岁 困难 幼儿园 小学 比较 困难 家里 没有 老人 帮忙 双职工 根本 没有 时间 照顾 孩子 国家 出台 二胎 政策 自有 道理 养二孩 奢望 ,193
俄罗斯在叙利亚的反恐行动,感觉老毛子这次中计了。,1,感觉 老 毛子 中计 ,11
俄罗斯在叙利亚的反恐行动,第一，叙利亚的人民怎么变成你的亲人了，就算是反对派人家也是叙利亚啊！第二，俄罗斯打的有isis吧，意思是isis也是你的亲人！公然支持恐怖主义啊！第三，跟北约说的一样，击落人家战机之前可以先驱逐啊，拒不离开你再击落总是表明有心解决的，现在不是明摆着挑事嘛！可见俄罗斯打isis他们肉都疼了！,0,第一 叙利亚 人民 变成 亲人 反对派 叙利亚 第二 俄罗斯 isis 意思 isis 亲人 公然 支持 恐怖主义 第三 北约 说 击落 战机 之前 先 驱逐 拒 离开 击落 总是 表明 有心 解决 现在 明摆着 挑事 俄罗斯 isis 肉 疼 ,123
春节放鞭炮,今年响应pm2.5 放烟花的明显减少了，虽然年味儿少了，但是家人团聚，就是幸福！广大群众素质都在提高啊，好事！！#春节不放鞭炮#,1,今年 响应 pm 放 烟花 明显 减少 年 味儿 少 家人 团聚 幸福 广大群众 素质 提高 好事 春节 放鞭炮 ,57
春节放鞭炮,#女模裸腿放鞭炮# 近日，摄影师刘佳楠网传一组时尚性感女模裸腿放鞭炮的图片，意欲演绎另类春节。可惜引来的不是赞美，而是一众网友的炮轰。“颜值高”“身材好”何必哗众取宠，传统文化可不要玩儿得太过。,2,女模 裸腿 放鞭炮 近日 摄影师 刘佳楠 网传 一组 时尚 性感女 模裸腿 放鞭炮 图片 意欲 演绎 另类 春节 可惜 引来 赞美 一众 网友 炮轰 颜值 高 身材 何必 哗众取宠 传统 文化 不要 玩儿 得太过 ,107
俄罗斯在叙利亚的反恐行动,普京倒了，祸水东来,1,普京 倒 祸水 东来 ,11
深圳禁摩限电,#深圳“禁摩限电”# 目前，@坪山交警 正在行动，组织警力在各个复杂路段严查摩托车和电动自行车交通违法。,0,深圳 禁摩 限电 目前 坪 山 交警 正在 行动 组织 警力 复杂 路段 严查 摩托车 电动 自行车 交通 违法 ,57
深圳禁摩限电,中国的上层就是不给基层人民一条活路...好累从3月21日起，一场被媒体称为史上最严厉“禁摩限电”整治行动在深圳展开，据深圳市交警局通报，http://t.cn/RqxVf63,1,中国 上层 基层人民 一条 活路 好累 月 日 一场 媒体 称为 史上 严厉 禁摩 限电 整治 行动 深圳 展开 深圳市 交警 局 通报 httptcnRqxVf ,82
深圳禁摩限电,深圳的禁摩限电是一种弱肉强食！强烈反对！,1,深圳 禁摩 限电 一种 弱肉强食 强烈 反对 ,23
开放二胎,中國人口日漸老齡化加上現代年輕人普遍結婚晚的現狀，不得不迫使政府開放二胎，新生嬰兒才是未來。 人活著就應該對社會做出貢獻，讓我們傳遞正能量。,0,中國 人口 日漸 老齡化 加上 現代年 輕人 普遍 結婚 晚 現狀 不得不 迫使 政府 開放 二胎 新生 嬰兒 未來 人活 著 應該 對 社會 做出 貢獻 讓 我們 傳遞 正 能量 ,91
深圳禁摩限电,摩托车电动车在路上跑确实很不安全，机动车直行他们我的直行，机动车待转他们也待转，这样算是好的，有的根本不等红绿灯还拿他没办法，如果有什么事还是机动车和非机动车发生的事故，机动车全责，而大部分事故是非机动车引起的。,0,摩托车 电动车 路上 跑 确实 安全 机动车 直行 直行 机动车 待转 待转 算是 根本 红绿灯 没 办法 事 机动车 非机动车 发生 事故 机动车 全责 大部分 事故 非机动车 引起 ,93
开放二胎,真受不了啦！今天大学群成立，才知道有好多人都是二胎了。让我情何以堪！,2,真受不了 今天 大学 群 成立 知道 好多 二胎 我情 何以堪 ,32
IphoneSE,当初买5s是被外观吸引了！听说，5色，用6的外观和中不溜的配置。 外观输5s配置输6s 搞什么,1,当初 买 s 外观 吸引 听说 色用 外观 中不溜 配置 外观 输 s 配置 输 s 搞 ,45
开放二胎,2016年1月1日国家开放二胎政策，无非是想让国家强大。可是最近出现假疫苗事件，接种疫苗的孩子可能会出现很多问题，严重的会有生命危险。那么能长大成人的孩子会有多少？开放二胎与不开放二胎有何区别？只是给了一些家庭希望，又增加了失望罢了！,1,年月日 国家 开放 二胎 政策 无非 想 国家 强大 最近 出现 假 疫苗 事件 接种 疫苗 孩子 可能 会 出现 很多 问题 严重 会 生命危险 长大成人 孩子 会 开放 二胎 开放 二胎 有何 区别 家庭 希望 增加 失望 ,114
春节放鞭炮,#春节少放烟花爆竹# 禁发烟花不应该是一种口号，不应该成为制造春节气氛的一个借口！面对着日益严重的大气环境，当每天都有人抱怨着雾霾如何如何，春节放鞭炮就真的只能是一种口号吗？如果有一天连空气都要花钱购买的时候，还有多少人在意所谓的节日气氛乐呢？,1,春节 少放 烟花爆竹 禁发 烟花 应该 一种 口号 应该 成为 制造 春节 气氛 一个 借口 面对 日益严重 大气环境 每天 有人 抱怨 雾 霾 春节 放鞭炮 真的 只能 一种 口号 一天 空气 花钱 购买 在意 所谓 节日 气氛 乐 ,118
俄罗斯在叙利亚的反恐行动,期待毛子全家炸锅放鞭炮庆祝,1,期待 毛子 全家 炸锅 放鞭炮 庆祝 ,19
IphoneSE,用惯了小屏的iPhone5，又不想换成大屏幕的6S，现在有了美比5S，智如6S的iPhoneSE出现了，还有京东以旧换新大政策，怪不得三十多万人已经在京东预约购买了SE，你不准备加一个？,0,用惯 小屏 iPhone 不想 换成 大屏幕 S 现在 美比 S 智如 S iPhoneSE 出现 京东 以旧换新 政策 怪不得 三十多万 已经 京东 预约 购买 SE 准备 加 一个 ,93
开放二胎,【避免集中怀孕 单位要求#生孩子提前一年申请#】随着“二胎政策”开放，生宝宝扎堆。为避免员工集中怀孕，长春一单位定新规：想要孩子，须提前一年申请，单位根据个人实际情况，制定“员工生育时间表”，避免让员工集中在同一年扎堆怀孕，影响正常的工作。,2,避免 集中 怀孕 单位 要求 生 孩子 提前 一年 申请 二胎 政策 开放 生 宝宝 扎堆 避免 员工 集中 怀孕 长春 单位 定新规 想要 孩子 须 提前 一年 申请 单位 个人 实际 情况 制定 员工 生育 时间表 避免 员工 集中 同一 年 扎堆 怀孕 影响 正常 工作 ,139
开放二胎,二胎的美好日常,0,二胎 美好 日常 ,9
春节放鞭炮,#百度贴心搜#做个小小的调查~春节期间你有没有放炮呢？~“除夕夜，放鞭炮，风风火火过大年！”这是我们的民族传统，但是这里也要提醒一下朋友们，为了我们的空气质量~过年放炮适可而止哦~,0,百度 贴心 搜做 小小的 调查 春节 期间 有没有 放炮 除夕夜 放鞭炮 风风火火 过大年 这是 民族 传统 提醒 一下 朋友 空气质量 过年 放炮 适可而止 ,80
春节放鞭炮,【新民街访：今年过年你家放鞭炮吗？】春节放鞭炮增加节日气氛是不少家庭的传统，但也有声音提出可否不放鞭炮文明过年。对此有受访者称已经放得少了，“就除夕和元宵放放”，有人表示主要考虑环保和安全因素，而过年最重要是全家团聚。一大妈：放了也不一定发财。大妈你…|140108sv,2,新民 街访 今年过年 你家 放鞭炮 春节 放鞭炮 增加 节日 气氛 不少 家庭 传统 声音 提出 可否 放鞭炮 文明 过年 对此 受访者 称 已经 放得少 除夕 元宵 放 放 有人 表示 主要 考虑 环保 安全 因素 过年 重要 全家 团聚 大妈 放 一定 发财 大妈 sv ,138
俄罗斯在叙利亚的反恐行动,俄罗斯驻叙利亚赫迈米姆空军基地新闻处日前证实，俄军一名特种兵在叙利亚战场执行反恐作战行动时牺牲。这名特种兵２４日在叙利亚西部霍姆斯省巴尔米拉市附近的一村庄执行任务时不幸牺牲，当时他正在为俄军轰炸机指引轰炸极端主义势力的目标,1,俄罗斯 驻 叙利亚 赫迈 米姆 空军基地 新闻处 日前 证实 俄军 一名 特种兵 叙利亚 战场 执行 反恐 作战 行动 时 牺牲 这名 特种兵 日 叙利亚 西部 霍姆斯 省 巴尔米 拉市 附近 村庄 执行 任务 时 不幸 牺牲 当时 正在 俄军 轰炸机 指引 轰炸 极端主义 势力 目标 ,144
深圳禁摩限电,之前拆围墙的事只是稍微试试舆论反应、看不来塞就收手不干了。这回呢，深圳禁摩限电、海关大肆抢劫，闪电般的办事效率，真tm服。,1,之前 拆 围墙 事 稍微 试试 舆论 反应 看不来 塞 收手 干 这回 深圳 禁摩 限电 海关 大肆 抢劫 闪电 办事效率 真 tm 服 ,69
开放二胎,开放二胎和取消晚婚晚育假对一部分人很有利。但是这些措施丝毫没有考虑中国社会伦理和群众感情，让人感觉不到一点生而为人的尊严，所以挨骂活该。,2,开放 二胎 取消 晚婚晚育 假对 一部分 有利 措施 丝毫 没有 考虑 中国 社会 伦理 群众 感情 感觉 不到 一点 生而为 尊严 挨骂 活该 ,73
开放二胎,男权社会里的典型！国家既然开放二胎政策，是否也要出台相应维护女性工作权利的政策！,1,男权 社会 里 典型 国家 开放 二胎 政策 是否 出台 相应 维护 女性 工作 权利 政策 ,47
春节放鞭炮,今年春节的鞭炮不像往年那么响、那么多了。虽然春节放鞭炮是一种传统，还有地方在卖鞭炮，也有人去买。但现在杭州总有雾霾，空气中pm2.5在增加。所以，很多人也和我们家一样，在今年春节不放鞭炮，宁愿让空气更好些。如果我们大家少排放一点尾气，少用一滴水，少扔一点垃圾。。。 http://t.cn/8FasIgO,1,今年春节 鞭炮 不像 往年 响 春节 放鞭炮 一种 传统 地方 卖 鞭炮 有人 买 现在 杭州 总有 雾 霾 空气 中 pm 增加 很多 家 今年春节 放鞭炮 空气 更好 少 排放 一点 尾气 少 一滴水 少 扔 一点 垃圾 httptcnFasIgO ,127
开放二胎,既然国家开放二胎，学校有什么资格限制？这是对女性的歧视，还有政府你既然开放二胎还鼓励二胎就应该做好各方面的工作布施 |记者暗拍....,0,国家 开放 二胎 学校 资格 限制 女性 歧视 政府 开放 二胎 鼓励 二胎 应该 做好 方面 工作 布施 记者 暗拍 ,60
春节放鞭炮,【环保新闻】2014年1月25日〖多地民众自发倡议春节少放鞭炮 低碳环保过节〗据中国之声《央广新闻》报道，在今冬多地遭遇严峻雾霾景况下，热衷于热热闹闹过春节的中国民众也自发反思和改变燃放烟花爆竹这一传统习俗。低碳环保过节方式，受到越来越多中国人的拥护。http://t.cn/8FVrPUC,1,环保 新闻 年月日 多地 民众 自发 倡议 春节 少 放鞭炮 低碳 环保 过节 中国 之声央广 新闻报道 今冬 多地 遭遇 严峻 雾 霾 景况 热衷于 热热闹闹 春节 中国 民众 自发 反思 改变 燃放烟花 爆竹 这一 传统习俗 低碳 环保 过节 方式 越来越 中国 拥护 httptcnFVrPUC ,151
开放二胎,人口老龄化所以开放二胎 但是这并没有什么卵用 开放二胎20年后的就业问题呢？教育问题呢？各种问题呢？？？然后人口老龄化其中一后果就是社保缺口越来越大，什么延迟退休、自己交退休金的奇葩对策都出来了..都说从建国那会的鼓励生育就走错了好吗 一步错步步错 未来也将错下去,1,人口老龄化 开放 二胎 没有 卵用 开放 二胎 年 就业 问题 教育 问题 问题 人口老龄化 后果 社保 缺口 越来越 延迟 退休 交 退休金 奇葩 对策 说 建国 那会 鼓励 生育 走 错 一步 错 步步 错 未来 错 下去 ,114
IphoneSE,当然，适合自己的才是最重要的。如果不喜欢SE的大小那么6s才是现在苹果阵营中最适合的那一个。但是如果你已经过了追求新潮数码产品刷机root优化瞎折腾的年纪，和我一样想找一个手机好好发微信上上网，喜欢小手机并且对性能有着高要求，相信我，iPhone SE不会让你失望。而且价格确实很良心！啥，你说太像5s别人认不出来？骚年，手机自己用着开心就行了，换手机不是为了别人换的you know？,2,适合 重要 喜欢 SE 大小 s 现在 苹果 阵营 中 适合 一个 已经 追求 新潮 数码产品 刷机 root 优化 瞎折腾 年纪 想 找 一个 手机 好好 发微信 上上网 喜欢 手机 性能 有着 高 要求 相信 iPhoneSE 不会 失望 价格 确实 良心 说 太 s 认不出来 骚年 手机 开心 就行了 换 手机 换 youknow ,170
